cell,tag,split,graph,knn,frac,k,mu,method,n_sel_models,n_rep_models,r_full,r,p,rho,r_train,r_val,purity,P_hard,n_cc,largest_cc_frac,tiles,blocks,moran_I,jaccard_vs_smallest
FL_band_AE_s0,FL_band_AE_s0_mu0_knn,random-split,knn,10,0.05,470,0.0,oodselect,180,60,0.847788707617345,-0.9327208760613407,2.2644436716608003e-27,-0.9247013059183108,-0.8839301476568807,-0.883718340787504,0.3062893028298799,0.8197872340425532,152,0.07021276595744681,20,122,0.2711823080430056,39.05106382978723
FL_band_AE_s0,FL_band_AE_s0_mu0_knn,random-split,knn,10,0.05,470,0.0,nullsel,180,60,0.847788707617345,0.05613076825765936,0.670124611601887,-0.02022784106696305,,,0.2719176786917713,0.8717021276595744,172,0.1148936170212766,23,130,0.23191482613589579,
FL_band_AE_s0,FL_band_AE_s0_mu0_knn,random-split,knn,10,0.05,470,0.0,hard,180,60,0.847788707617345,-0.2958757207102373,0.021716751421134304,-0.3423173103639901,,,0.4798099121362576,0.6080851063829787,108,0.11702127659574468,21,104,0.45206159463373397,
FL_band_AE_s0,FL_band_AE_s0_mu0_knn,random-split,knn,10,0.05,470,0.0,random,180,60,0.847788707617345,0.8026303141423519,1.2426605516315423e-14,0.7638788552375663,,,0.05041563406987292,1.1293617021276596,344,0.01702127659574468,22,201,0.0007403758827208277,
FL_band_AE_s0,FL_band_AE_s0_mu0p1_knn,random-split,knn,10,0.05,470,0.1,oodselect,180,60,0.847788707617345,-0.953350908849887,7.369853182213002e-32,-0.9424840233398167,-0.9192474248005942,-0.9252107457379125,0.3146700163880356,0.8091489361702128,147,0.06382978723404255,20,126,0.2785826107046079,39.05106382978723
FL_band_AE_s0,FL_band_AE_s0_mu0p1_knn,random-split,knn,10,0.05,470,0.1,nullsel,180,60,0.847788707617345,0.044545826962088024,0.7353934535924066,-0.0629619338705196,,,0.2945483134234698,0.8393617021276596,165,0.13191489361702127,23,123,0.2572122850772053,
FL_band_AE_s0,FL_band_AE_s0_mu0p1_knn,random-split,knn,10,0.05,470,0.1,hard,180,60,0.847788707617345,-0.2958757207102373,0.021716751421134304,-0.3423173103639901,,,0.4798099121362576,0.6080851063829787,108,0.11702127659574468,21,104,0.45206159463373397,
FL_band_AE_s0,FL_band_AE_s0_mu0p1_knn,random-split,knn,10,0.05,470,0.1,random,180,60,0.847788707617345,0.8026303141423519,1.2426605516315423e-14,0.7638788552375663,,,0.05041563406987292,1.1293617021276596,344,0.01702127659574468,22,201,0.0007403758827208277,
FL_band_AE_s0,FL_band_AE_s0_mu0p3_knn,random-split,knn,10,0.05,470,0.3,oodselect,180,60,0.847788707617345,-0.9362634208901693,4.956616686740484e-28,-0.9331480966935263,-0.8910841390305004,-0.8958380480242552,0.35608567466720753,0.7548936170212766,136,0.13617021276595745,20,120,0.32519479311203053,39.05106382978723
FL_band_AE_s0,FL_band_AE_s0_mu0p3_knn,random-split,knn,10,0.05,470,0.3,nullsel,180,60,0.847788707617345,0.08105861002219121,0.5381032902964855,0.04556821339260907,,,0.3358587461419126,0.7874468085106383,152,0.13829787234042554,22,119,0.30259744893827917,
FL_band_AE_s0,FL_band_AE_s0_mu0p3_knn,random-split,knn,10,0.05,470,0.3,hard,180,60,0.847788707617345,-0.2958757207102373,0.021716751421134304,-0.3423173103639901,,,0.4798099121362576,0.6080851063829787,108,0.11702127659574468,21,104,0.45206159463373397,
FL_band_AE_s0,FL_band_AE_s0_mu0p3_knn,random-split,knn,10,0.05,470,0.3,random,180,60,0.847788707617345,0.8026303141423519,1.2426605516315423e-14,0.7638788552375663,,,0.05041563406987292,1.1293617021276596,344,0.01702127659574468,22,201,0.0007403758827208277,
FL_band_AE_s0,FL_band_AE_s0_mu1_knn,random-split,knn,10,0.05,470,1.0,oodselect,180,60,0.847788707617345,-0.9290624002207162,9.99146544401723e-27,-0.9270352875798835,-0.8913858395381798,-0.893271286334911,0.4707557007890484,0.6119148936170212,102,0.1425531914893617,19,97,0.44356529554611474,39.05106382978723
FL_band_AE_s0,FL_band_AE_s0_mu1_knn,random-split,knn,10,0.05,470,1.0,nullsel,180,60,0.847788707617345,0.16209582823364746,0.2159464877183727,0.24145595998888586,,,0.4493544918091226,0.65,119,0.20851063829787234,21,98,0.42455617627459274,
FL_band_AE_s0,FL_band_AE_s0_mu1_knn,random-split,knn,10,0.05,470,1.0,hard,180,60,0.847788707617345,-0.2958757207102373,0.021716751421134304,-0.3423173103639901,,,0.4798099121362576,0.6080851063829787,108,0.11702127659574468,21,104,0.45206159463373397,
FL_band_AE_s0,FL_band_AE_s0_mu1_knn,random-split,knn,10,0.05,470,1.0,random,180,60,0.847788707617345,0.8026303141423519,1.2426605516315423e-14,0.7638788552375663,,,0.05041563406987292,1.1293617021276596,344,0.01702127659574468,22,201,0.0007403758827208277,
FL_band_AE_s0,FL_band_AE_s0_mu3_knn,random-split,knn,10,0.05,470,3.0,oodselect,180,60,0.847788707617345,-0.8741185414803692,7.66623080882715e-20,-0.8679633231453183,-0.8364221171314058,-0.8328800622333413,0.7103577332649857,0.3374468085106383,36,0.1702127659574468,13,51,0.6908437524358683,39.05106382978723
FL_band_AE_s0,FL_band_AE_s0_mu3_knn,random-split,knn,10,0.05,470,3.0,nullsel,180,60,0.847788707617345,0.3079629975258469,0.016675475840444327,0.5983328702417339,,,0.6513095601033649,0.4106382978723404,54,0.23829787234042554,14,57,0.6367756652055546,
FL_band_AE_s0,FL_band_AE_s0_mu3_knn,random-split,knn,10,0.05,470,3.0,hard,180,60,0.847788707617345,-0.2958757207102373,0.021716751421134304,-0.3423173103639901,,,0.4798099121362576,0.6080851063829787,108,0.11702127659574468,21,104,0.45206159463373397,
FL_band_AE_s0,FL_band_AE_s0_mu3_knn,random-split,knn,10,0.05,470,3.0,random,180,60,0.847788707617345,0.8026303141423519,1.2426605516315423e-14,0.7638788552375663,,,0.05041563406987292,1.1293617021276596,344,0.01702127659574468,22,201,0.0007403758827208277,
FL_band_AE_s0,FL_band_AE_s0_mu10_knn,random-split,knn,10,0.05,470,10.0,oodselect,180,60,0.847788707617345,-0.7776403103793041,2.7105709733893523e-13,-0.8140594609613784,-0.740102953034195,-0.7159744501843746,0.828744064480923,0.20063829787234042,14,0.19787234042553192,8,38,0.8141053996815621,39.05106382978723
FL_band_AE_s0,FL_band_AE_s0_mu10_knn,random-split,knn,10,0.05,470,10.0,nullsel,180,60,0.847788707617345,0.39241651665068894,0.0019278829918707137,0.6441233676021119,,,0.8695715600627991,0.15361702127659574,10,0.5361702127659574,6,26,0.8614359973158222,
FL_band_AE_s0,FL_band_AE_s0_mu10_knn,random-split,knn,10,0.05,470,10.0,hard,180,60,0.847788707617345,-0.2958757207102373,0.021716751421134304,-0.3423173103639901,,,0.4798099121362576,0.6080851063829787,108,0.11702127659574468,21,104,0.45206159463373397,
FL_band_AE_s0,FL_band_AE_s0_mu10_knn,random-split,knn,10,0.05,470,10.0,random,180,60,0.847788707617345,0.8026303141423519,1.2426605516315423e-14,0.7638788552375663,,,0.05041563406987292,1.1293617021276596,344,0.01702127659574468,22,201,0.0007403758827208277,
FL_band_AE_s0,FL_band_AE_s0_mu0_knn,random-split,knn,10,0.1,941,0.0,oodselect,180,60,0.847788707617345,-0.7735030566751794,4.3460153908905507e-13,-0.7816615726590721,-0.7130088132031123,-0.6579946859619812,0.5363933430393671,0.5520722635494155,116,0.15727948990435706,22,112,0.4823089895159312,10.776059371934917
FL_band_AE_s0,FL_band_AE_s0_mu0_knn,random-split,knn,10,0.1,941,0.0,nullsel,180,60,0.847788707617345,0.3139174967314043,0.014584584935749705,0.530425118088358,,,0.4554663446025889,0.6446333687566419,184,0.32093517534537724,23,157,0.39808012832233597,
FL_band_AE_s0,FL_band_AE_s0_mu0_knn,random-split,knn,10,0.1,941,0.0,hard,180,60,0.847788707617345,-0.17792254761700654,0.1738075872624094,-0.21972770213948323,,,0.48940838603320547,0.6017003188097768,186,0.11370882040382571,22,171,0.4339931833123116,
FL_band_AE_s0,FL_band_AE_s0_mu0_knn,random-split,knn,10,0.1,941,0.0,random,180,60,0.847788707617345,0.8187375527231341,1.3365206100078592e-15,0.7799388719088637,,,0.10656565996658547,1.0586609989373008,489,0.010626992561105207,23,240,0.006776450518031691,
FL_band_AE_s0,FL_band_AE_s0_mu0p1_knn,random-split,knn,10,0.1,941,0.1,oodselect,180,60,0.847788707617345,-0.7735841837092309,4.306379440065326e-13,-0.7786607390941929,-0.7119192260065778,-0.6557104408091893,0.5367323171427888,0.5514346439957492,111,0.16046758767268862,21,110,0.4824284096446734,8.826339423392348
FL_band_AE_s0,FL_band_AE_s0_mu0p1_knn,random-split,knn,10,0.1,941,0.1,nullsel,180,60,0.847788707617345,0.3150547513503977,0.01421196143943724,0.5267018616282302,,,0.45820115598955713,0.642826780021254,172,0.4293304994686504,23,155,0.4004889841852611,
FL_band_AE_s0,FL_band_AE_s0_mu0p1_knn,random-split,knn,10,0.1,941,0.1,hard,180,60,0.847788707617345,-0.17792254761700654,0.1738075872624094,-0.21972770213948323,,,0.48940838603320547,0.6017003188097768,186,0.11370882040382571,22,171,0.4339931833123116,
FL_band_AE_s0,FL_band_AE_s0_mu0p1_knn,random-split,knn,10,0.1,941,0.1,random,180,60,0.847788707617345,0.8187375527231341,1.3365206100078592e-15,0.7799388719088637,,,0.10656565996658547,1.0586609989373008,489,0.010626992561105207,23,240,0.006776450518031691,
FL_band_AE_s0,FL_band_AE_s0_mu0p3_knn,random-split,knn,10,0.1,941,0.3,oodselect,180,60,0.847788707617345,-0.7708528161482581,5.850340137720639e-13,-0.7787163100861352,-0.7105033549945573,-0.6535700187117494,0.5466585221915169,0.5405951115834219,111,0.15834218916046758,20,109,0.4938554311454334,10.129153842632057
FL_band_AE_s0,FL_band_AE_s0_mu0p3_knn,random-split,knn,10,0.1,941,0.3,nullsel,180,60,0.847788707617345,0.32294546667817453,0.011844786432783246,0.5393720477910532,,,0.4712085237003972,0.6274176408076514,179,0.512221041445271,23,149,0.41293111908289126,
FL_band_AE_s0,FL_band_AE_s0_mu0p3_knn,random-split,knn,10,0.1,941,0.3,hard,180,60,0.847788707617345,-0.17792254761700654,0.1738075872624094,-0.21972770213948323,,,0.48940838603320547,0.6017003188097768,186,0.11370882040382571,22,171,0.4339931833123116,
FL_band_AE_s0,FL_band_AE_s0_mu0p3_knn,random-split,knn,10,0.1,941,0.3,random,180,60,0.847788707617345,0.8187375527231341,1.3365206100078592e-15,0.7799388719088637,,,0.10656565996658547,1.0586609989373008,489,0.010626992561105207,23,240,0.006776450518031691,
FL_band_AE_s0,FL_band_AE_s0_mu1_knn,random-split,knn,10,0.1,941,1.0,oodselect,180,60,0.847788707617345,-0.7649695376065353,1.1160844212020537e-12,-0.7699360933592667,-0.7039638942925119,-0.6438922735317181,0.5715047930745446,0.5104144527098831,100,0.1594048884165781,20,102,0.5208500487843237,9.215129305843123
FL_band_AE_s0,FL_band_AE_s0_mu1_knn,random-split,knn,10,0.1,941,1.0,nullsel,180,60,0.847788707617345,0.3303325750423815,0.009945397776117174,0.5627118644067797,,,0.5059752900842349,0.5844845908607864,160,0.463336875664187,23,146,0.4523480951723033,
FL_band_AE_s0,FL_band_AE_s0_mu1_knn,random-split,knn,10,0.1,941,1.0,hard,180,60,0.847788707617345,-0.17792254761700654,0.1738075872624094,-0.21972770213948323,,,0.48940838603320547,0.6017003188097768,186,0.11370882040382571,22,171,0.4339931833123116,
FL_band_AE_s0,FL_band_AE_s0_mu1_knn,random-split,knn,10,0.1,941,1.0,random,180,60,0.847788707617345,0.8187375527231341,1.3365206100078592e-15,0.7799388719088637,,,0.10656565996658547,1.0586609989373008,489,0.010626992561105207,23,240,0.006776450518031691,
FL_band_AE_s0,FL_band_AE_s0_mu3_knn,random-split,knn,10,0.1,941,3.0,oodselect,180,60,0.847788707617345,-0.7421656617833087,1.1550696730992916e-11,-0.7512086690747432,-0.6881214242782973,-0.6183690996586005,0.6349443545965592,0.43230605738575983,79,0.19234856535600425,20,87,0.591382483005449,8.756498100999732
FL_band_AE_s0,FL_band_AE_s0_mu3_knn,random-split,knn,10,0.1,941,3.0,nullsel,180,60,0.847788707617345,0.3253791348339391,0.011187096657094265,0.5440400111141985,,,0.6138463360875541,0.4567481402763018,109,0.5802337938363443,22,115,0.5735853727103104,
FL_band_AE_s0,FL_band_AE_s0_mu3_knn,random-split,knn,10,0.1,941,3.0,hard,180,60,0.847788707617345,-0.17792254761700654,0.1738075872624094,-0.21972770213948323,,,0.48940838603320547,0.6017003188097768,186,0.11370882040382571,22,171,0.4339931833123116,
FL_band_AE_s0,FL_band_AE_s0_mu3_knn,random-split,knn,10,0.1,941,3.0,random,180,60,0.847788707617345,0.8187375527231341,1.3365206100078592e-15,0.7799388719088637,,,0.10656565996658547,1.0586609989373008,489,0.010626992561105207,23,240,0.006776450518031691,
FL_band_AE_s0,FL_band_AE_s0_mu10_knn,random-split,knn,10,0.1,941,10.0,oodselect,180,60,0.847788707617345,-0.6651988779279242,6.730407609607928e-09,-0.6994720755765492,-0.6343742672295142,-0.5423117232156769,0.7935154184295471,0.24452709883103083,30,0.24442082890541977,11,55,0.7652751326297961,10.814778940694977
FL_band_AE_s0,FL_band_AE_s0_mu10_knn,random-split,knn,10,0.1,941,10.0,nullsel,180,60,0.847788707617345,0.35541153429470296,0.005324640151949318,0.5568213392609059,,,0.7856091493981657,0.2536663124335813,37,0.6620616365568545,18,71,0.7632449058360553,
FL_band_AE_s0,FL_band_AE_s0_mu10_knn,random-split,knn,10,0.1,941,10.0,hard,180,60,0.847788707617345,-0.17792254761700654,0.1738075872624094,-0.21972770213948323,,,0.48940838603320547,0.6017003188097768,186,0.11370882040382571,22,171,0.4339931833123116,
FL_band_AE_s0,FL_band_AE_s0_mu10_knn,random-split,knn,10,0.1,941,10.0,random,180,60,0.847788707617345,0.8187375527231341,1.3365206100078592e-15,0.7799388719088637,,,0.10656565996658547,1.0586609989373008,489,0.010626992561105207,23,240,0.006776450518031691,
