cell,tag,split,graph,knn,frac,k,mu,method,n_sel_models,n_rep_models,r_full,r,p,rho,r_train,r_val,purity,P_hard,n_cc,largest_cc_frac,tiles,blocks,moran_I,jaccard_vs_smallest
FL_band_AE_s0,FL_band_AE_s0_mu0_knn,random-split,knn,10,0.05,470,0.0,oodselect,14,6,0.6648520148243476,-0.20889149666058987,0.6912203138977508,-0.3142857142857143,-0.8407037572427939,0.47779063525642496,0.5109703274753338,0.5778723404255319,74,0.26382978723404255,15,72,0.4822685719724265,39.05106382978723
FL_band_AE_s0,FL_band_AE_s0_mu0_knn,random-split,knn,10,0.05,470,0.0,nullsel,14,6,0.6648520148243476,0.15226722003208612,0.7733643510195359,0.08571428571428573,,,0.28301978493624297,0.8487234042553191,183,0.10212765957446808,21,121,0.24652640015751462,
FL_band_AE_s0,FL_band_AE_s0_mu0_knn,random-split,knn,10,0.05,470,0.0,hard,14,6,0.6648520148243476,-0.5540821486065418,0.25393033378096747,-0.6,,,0.5482891451477183,0.5287234042553192,81,0.13617021276595745,20,88,0.522650423891321,
FL_band_AE_s0,FL_band_AE_s0_mu0_knn,random-split,knn,10,0.05,470,0.0,random,14,6,0.6648520148243476,0.7472157081421315,0.08777340205571317,0.7714285714285715,,,0.048619999629073464,1.1270212765957446,349,0.014893617021276596,23,203,-0.002111060206906757,
FL_band_AE_s0,FL_band_AE_s0_mu10_knn,random-split,knn,10,0.05,470,10.0,oodselect,14,6,0.6648520148243476,-0.2434013018096024,0.6421081042239681,-0.3142857142857143,-0.8276362838104568,0.4988220277943144,0.7776533937485127,0.26,17,0.3404255319148936,6,34,0.7653413414215969,39.05106382978723
FL_band_AE_s0,FL_band_AE_s0_mu10_knn,random-split,knn,10,0.05,470,10.0,nullsel,14,6,0.6648520148243476,-0.10257718154271836,0.8466738902474145,0.08571428571428573,,,0.3924028797469282,0.7114893617021276,118,0.12127659574468085,20,101,0.3640479466484292,
FL_band_AE_s0,FL_band_AE_s0_mu10_knn,random-split,knn,10,0.05,470,10.0,hard,14,6,0.6648520148243476,-0.5540821486065418,0.25393033378096747,-0.6,,,0.5482891451477183,0.5287234042553192,81,0.13617021276595745,20,88,0.522650423891321,
FL_band_AE_s0,FL_band_AE_s0_mu10_knn,random-split,knn,10,0.05,470,10.0,random,14,6,0.6648520148243476,0.7472157081421315,0.08777340205571317,0.7714285714285715,,,0.048619999629073464,1.1270212765957446,349,0.014893617021276596,23,203,-0.002111060206906757,
FL_band_AE_s0,FL_band_AE_s0_mu0_knn,trees->others,knn,10,0.05,470,0.0,oodselect,15,9,0.7323773428158002,-0.2473136880165762,0.5211549598108894,-0.016666666666666666,-0.5328507424207415,,0.4221308697560262,0.678936170212766,94,0.17659574468085107,22,88,0.39310284399580986,39.05106382978723
FL_band_AE_s0,FL_band_AE_s0_mu0_knn,trees->others,knn,10,0.05,470,0.0,nullsel,15,9,0.7323773428158002,0.14785241055279646,0.7042306959198404,0.16666666666666669,,,0.31413339521328126,0.8140425531914893,134,0.16382978723404254,22,114,0.2788286883794721,
FL_band_AE_s0,FL_band_AE_s0_mu0_knn,trees->others,knn,10,0.05,470,0.0,hard,15,9,0.7323773428158002,0.0751093840537865,0.8477059298001629,0.016666666666666666,,,0.5059815370625758,0.5838297872340426,89,0.1574468085106383,18,86,0.4800412761608365,
FL_band_AE_s0,FL_band_AE_s0_mu0_knn,trees->others,knn,10,0.05,470,0.0,random,15,9,0.7323773428158002,0.7314712988918484,0.025109219422795107,0.7833333333333333,,,0.05500539714367855,1.121063829787234,337,0.010638297872340425,23,193,0.004534561460322791,
FL_band_AE_s0,FL_band_AE_s0_mu10_knn,trees->others,knn,10,0.05,470,10.0,oodselect,15,9,0.7323773428158002,-0.32056466870615336,0.40032060421581733,-0.31666666666666665,-0.5734198110152164,,0.7018111875261438,0.3478723404255319,33,0.2127659574468085,11,48,0.6817629486657092,39.05106382978723
FL_band_AE_s0,FL_band_AE_s0_mu10_knn,trees->others,knn,10,0.05,470,10.0,nullsel,15,9,0.7323773428158002,-0.14991530193847769,0.7002572392232703,-0.11666666666666665,,,0.6903682378322553,0.3604255319148936,27,0.39574468085106385,19,51,0.6684151403619716,
FL_band_AE_s0,FL_band_AE_s0_mu10_knn,trees->others,knn,10,0.05,470,10.0,hard,15,9,0.7323773428158002,0.0751093840537865,0.8477059298001629,0.016666666666666666,,,0.5059815370625758,0.5838297872340426,89,0.1574468085106383,18,86,0.4800412761608365,
FL_band_AE_s0,FL_band_AE_s0_mu10_knn,trees->others,knn,10,0.05,470,10.0,random,15,9,0.7323773428158002,0.7314712988918484,0.025109219422795107,0.7833333333333333,,,0.05500539714367855,1.121063829787234,337,0.010638297872340425,23,193,0.004534561460322791,
