state,protocol,train,test,n_tiles,auc_id,auc_ood,gap,gap_lo,gap_hi,pct_tiles_ood_higher,signif
AZ,band,A,AE,52,0.9399371427314434,0.9401492451564497,0.00021210242500644064,-0.005589917925882203,0.006043169662773246,48.07692307692308,no
AZ,band,AE,A,52,0.9422132453408076,0.9418851673375866,-0.0003280780032208454,-0.006011110414587584,0.005050480256624989,53.84615384615385,no
AZ,shadedX,A,AE,20,0.8283527066551173,0.8284895631563363,0.00013685650121892935,-0.009620664783852146,0.011689365746752237,45.0,no
AZ,shadedX,AE,A,20,0.8678148740773555,0.8734765702682189,0.005661696190863747,-0.002964852251561109,0.016063280908461753,60.0,no
CO,band,A,AE,39,0.9795919968770698,0.9768448198509011,-0.0027471770261687364,-0.006958024663851259,0.00020899407300117796,51.28205128205128,no
CO,band,AE,A,39,0.9771103510777018,0.9797171495229607,0.0026067984452587414,-0.0002019776828484858,0.00591923560245648,56.41025641025641,no
CO,shadedX,A,AE,23,0.7934697452694527,0.8096749425118582,0.01620519724240549,-0.0010719369972014613,0.03509268578475057,52.17391304347826,no
CO,shadedX,AE,A,23,0.8091440306226086,0.8037586485374857,-0.005385382085122891,-0.025318052336040987,0.014523884736541974,52.17391304347826,no
FL,band,A,AE,51,0.8680694244048222,0.8735630708735015,0.005493646468679192,-0.005054963138352496,0.019935579545269755,47.05882352941176,no
FL,band,AE,A,51,0.8690045110964026,0.8656584697081743,-0.00334604138822833,-0.013063991913105645,0.00542764095792724,45.09803921568628,no
FL,shadedX,A,AE,46,0.837193515262577,0.8352250784406776,-0.001968436821899313,-0.01077754594049852,0.0067204522753755635,47.82608695652174,no
FL,shadedX,AE,A,46,0.844131673747587,0.8457006362247733,0.001568962477185757,-0.006825210292726866,0.009726190668625304,50.0,no
IA,band,A,AE,43,0.985297866065558,0.985863233534613,0.0005653674690549667,-0.002050733215756176,0.002941475282958985,65.11627906976744,no
IA,band,AE,A,43,0.9871671358546563,0.9864868457721502,-0.0006802900825058104,-0.0035075438341046162,0.0023041798030452184,46.51162790697674,no
IA,shadedX,A,AE,39,0.8432073421371226,0.8462247262341105,0.003017384096987773,-0.006883351530598189,0.013569837664384406,46.15384615384615,no
IA,shadedX,AE,A,39,0.8536438283223468,0.848615831694975,-0.005027996627371793,-0.013379704712683235,0.0030769914642714458,46.15384615384615,no
LA,band,A,AE,35,0.9195041498167086,0.9195943132023331,9.016338562437554e-05,-0.011267625499936023,0.009760874813089184,62.857142857142854,no
LA,band,AE,A,35,0.9233252036132634,0.9207865445682925,-0.002538659044970748,-0.009480931639420775,0.005195873626652626,37.142857142857146,no
