state,protocol,train,test,n_tiles,auc_id,auc_ood,gap,gap_lo,gap_hi,pct_tiles_ood_higher,signif
AZ,band,A,AE,52,0.9416251885777179,0.9415272132860589,-9.797529165902187e-05,-0.004382361656499944,0.003721060411521263,59.61538461538461,no
AZ,band,AE,A,52,0.9386869478599956,0.9404406860017349,0.0017537381417395542,-0.001945859832896263,0.005742859867817693,51.92307692307693,no
AZ,shadedX,A,AE,20,0.8333274437416334,0.8321681538460849,-0.0011592898955484015,-0.01586357093246527,0.014116222245755091,50.0,no
AZ,shadedX,AE,A,20,0.8703274689637462,0.8691449285208117,-0.0011825404429342047,-0.012398772058599102,0.009712328899383893,40.0,no
CO,band,A,AE,39,0.9803882499673298,0.9829409137608075,0.0025526637934777698,-0.000658306378170211,0.006307815354690463,51.28205128205128,no
CO,band,AE,A,39,0.981281929944968,0.9780504273952323,-0.003231502549735391,-0.00848231689339444,0.000924769575347767,46.15384615384615,no
CO,shadedX,A,AE,23,0.8171743108395984,0.8100703419241014,-0.007103968915496834,-0.02804348136701208,0.012810425693897143,39.130434782608695,no
CO,shadedX,AE,A,23,0.7995876513570532,0.7997735347528289,0.00018588339577554298,-0.018185439072557655,0.019422548769960905,52.17391304347826,no
FL,band,A,AE,51,0.858123962673084,0.8602471112348846,0.002123148561800633,-0.007166766991989754,0.01183151927711831,49.01960784313725,no
FL,band,AE,A,51,0.8694541571044063,0.8644563454542501,-0.004997811650156025,-0.0148717090401455,0.004195136526447384,49.01960784313725,no
FL,shadedX,A,AE,46,0.8389346543174048,0.8365491887082624,-0.0023854656091423063,-0.010741507716016098,0.00578785115841851,50.0,no
FL,shadedX,AE,A,46,0.8410655399689316,0.842510268050953,0.0014447280820211715,-0.007297985544684808,0.010791590425249206,50.0,no
IA,band,A,AE,43,0.9868206484053876,0.9863420089809077,-0.0004786394244799244,-0.0027686875632942655,0.001247200844859126,62.7906976744186,no
IA,band,AE,A,43,0.9859821635845561,0.9864609918973047,0.0004788283127484547,-0.0009395475206764718,0.0020933173208669423,44.18604651162791,no
IA,shadedX,A,AE,39,0.8369016006327319,0.8410801793333774,0.004178578700645436,-0.005494799613453535,0.013746483066270472,56.41025641025641,no
IA,shadedX,AE,A,39,0.850201436803873,0.8485169509171566,-0.001684485886716302,-0.012084782682611171,0.008002033435501607,51.28205128205128,no
LA,band,A,AE,35,0.9261445358745694,0.9243689139400739,-0.0017756219344953511,-0.007757693910910707,0.0038466597681912837,45.714285714285715,no
LA,band,AE,A,35,0.9239760121813492,0.9249321542903072,0.0009561421089580754,-0.005742867280213437,0.007488929862456683,54.285714285714285,no
LA,shadedX,A,AE,29,0.8285362578715186,0.8330409235008303,0.004504665629311595,-0.010995116096852633,0.020302224239663817,51.724137931034484,no
LA,shadedX,AE,A,29,0.8400277573155528,0.8406072965157333,0.0005795392001806926,-0.016516389314670706,0.017332265443180877,51.724137931034484,no
MN,band,A,AE,44,0.952635385437177,0.954672009446334,0.0020366240091570435,-0.0019696675862093216,0.006365611361900759,52.27272727272727,no
MN,band,AE,A,44,0.9548960718748586,0.9550896590430376,0.00019358716817881696,-0.0037612297190463993,0.004240840546404358,47.72727272727273,no
MN,shadedX,A,AE,27,0.8143374706435915,0.80729168914308,-0.007045781500511556,-0.018235683539972267,0.003502329853953297,48.148148148148145,no
MN,shadedX,AE,A,27,0.8399547838043324,0.8446627889667556,0.004708005162423329,-0.0037873307629948685,0.014075529235796986,51.85185185185185,no
MO,band,A,AE,45,0.993356566407176,0.9923030360339109,-0.00105353037326503,-0.0026437900311529396,0.00020561585462548329,51.11111111111111,no
MO,band,AE,A,45,0.9929489538522598,0.9933752705725062,0.00042631672024619546,-0.000905005556553543,0.0020577952648571647,42.22222222222222,no
MO,shadedX,A,AE,31,0.8496011412279719,0.8489338604578835,-0.0006672807700883385,-0.013683243563672521,0.011967368249309407,51.61290322580645,no
MO,shadedX,AE,A,31,0.8375399568983178,0.8457492308293837,0.008209273931065866,-0.004288973201068411,0.02193525219437651,54.83870967741935,no
NC,band,A,AE,14,0.8845454923751142,0.8895334430039316,0.004987950628817271,-0.010611473151815575,0.023215984550746527,57.14285714285714,no
NC,band,AE,A,14,0.8950102741767806,0.8818790192150724,-0.013131254961708241,-0.02972444085763787,0.001958165704182059,42.857142857142854,no
NC,shadedX,A,AE,9,0.7123325471506339,0.7222829319941544,0.009950384843520614,-0.013336561656742118,0.035119979535014556,55.55555555555556,no
NC,shadedX,AE,A,9,0.8472765860602084,0.8437523934146205,-0.0035241926455879596,-0.015302367974951749,0.005825122723816188,55.55555555555556,no
TX,band,A,AE,53,0.9656593660024319,0.960772235886691,-0.0048871301157408144,-0.012321337374580276,0.001442984138479719,47.16981132075472,no
TX,band,AE,A,53,0.9650309112281223,0.9692019895673687,0.004171078339246239,-0.0005766455553477339,0.009353136479421802,49.056603773584904,no
TX,shadedX,A,AE,28,0.8382345232907145,0.8282282269137335,-0.010006296376980976,-0.023963192359125442,0.004376917054890476,32.142857142857146,no
TX,shadedX,AE,A,28,0.8287244862237177,0.8415783848396796,0.012853898615962034,0.0015882955499121223,0.024423950244851753,71.42857142857143,yes
VT,band,A,AE,13,0.9780752254067855,0.9753152464962599,-0.0027599789105257236,-0.006196679248881337,0.0004540481339400431,46.15384615384615,no
VT,band,AE,A,13,0.9753130783754559,0.9783901650265565,0.003077086651100488,-0.001168079638114794,0.00807314869889737,61.53846153846154,no
VT,shadedX,A,AE,11,0.7887254855123192,0.7863015545344034,-0.002423930977915964,-0.0173807275161665,0.01142058575100596,45.45454545454545,no
VT,shadedX,AE,A,11,0.7931397236160034,0.7846713760629253,-0.008468347553078216,-0.02230328073743313,0.004952672011858789,36.36363636363637,no
