state,protocol,train,test,n_tiles,auc_id,auc_ood,gap,gap_lo,gap_hi,pct_tiles_ood_higher,signif
AZ,band,A,AE,52,0.9327074426701661,0.9291645988814703,-0.0035428437886958443,-0.030899905226205688,0.0212663143196308,55.769230769230774,no
AZ,band,AE,A,52,0.9293957229381866,0.9235289974373818,-0.005866725500804868,-0.03365529902239411,0.027404983021444364,30.76923076923077,no
AZ,shadedX,A,AE,20,0.81130029788073,0.766976787246674,-0.04432351063405599,-0.13998601062446697,0.03591464290766559,50.0,no
AZ,shadedX,AE,A,20,0.8839099158909093,0.8137549064611689,-0.07015500942974029,-0.14195422122025306,-7.757821608768213e-05,30.0,yes
CO,band,A,AE,39,0.9793268543093601,0.9788586211786983,-0.0004682331306613865,-0.007502266597504582,0.006157832992774816,53.84615384615385,no
CO,band,AE,A,39,0.9840596390625942,0.9707387442042046,-0.013320894858389479,-0.02069327881927455,-0.006416709578451874,25.64102564102564,yes
CO,shadedX,A,AE,23,0.8711321824468307,0.6955372516579115,-0.1755949307889192,-0.2275016955121601,-0.12099826340015876,13.043478260869565,yes
CO,shadedX,AE,A,23,0.7750755487351436,0.7396957735820614,-0.03537977515308236,-0.08653147356142067,0.01071159742079132,39.130434782608695,no
FL,band,A,AE,51,0.8571761333495158,0.8585927628312728,0.0014166294817570474,-0.03870898669404578,0.03903955136528989,58.82352941176471,no
FL,band,AE,A,51,0.9274005617827947,0.8119664830070346,-0.11543407877576047,-0.15238767266902906,-0.0825997710412488,7.8431372549019605,yes
FL,shadedX,A,AE,46,0.8668147035266405,0.6216813355254881,-0.24513336800115246,-0.3133470437642361,-0.18070931340579402,15.217391304347828,yes
FL,shadedX,AE,A,46,0.8678433783959106,0.7041421767788963,-0.16370120161701399,-0.21196145861507973,-0.11680365625491275,19.565217391304348,yes
IA,band,A,AE,43,0.9843150516437191,0.9808271465972109,-0.003487905046508556,-0.01547757625707268,0.009274402146155616,46.51162790697674,no
IA,band,AE,A,43,0.9881527916399552,0.9759565971549279,-0.012196194485026979,-0.026844406730846683,-0.0011189112240343048,30.23255813953488,yes
IA,shadedX,A,AE,39,0.8364824021909155,0.7942700444369765,-0.042212357753938896,-0.08530700969843073,-0.0023196605163916203,41.02564102564102,yes
IA,shadedX,AE,A,39,0.9070015744062854,0.6918027320391787,-0.21519884236710646,-0.2515311774052885,-0.17810330814021427,2.564102564102564,yes
LA,band,A,AE,35,0.9329085244556787,0.9043808471823739,-0.02852767727330475,-0.05509128895739728,-0.0031501801555158756,40.0,yes
LA,band,AE,A,35,0.9353292992692683,0.9091941981777466,-0.02613510109152169,-0.04657321625422711,-0.005663984577809919,28.57142857142857,yes
LA,shadedX,A,AE,29,0.8600037778070374,0.7511430099749381,-0.10886076783209944,-0.15350670145531592,-0.0676323511109877,24.137931034482758,yes
LA,shadedX,AE,A,29,0.8347342155843848,0.7980322728012542,-0.03670194278313052,-0.07810700925594825,-0.001171318147342817,41.37931034482759,yes
MN,band,A,AE,44,0.9365221553081745,0.9614548331102505,0.024932677802075885,0.010434071517701938,0.040789779353172906,77.27272727272727,yes
