state,protocol,train,group,variable,n,spearman,p_value
AZ,band,A,provenance,bfe,52,-0.074492441278932,0.599691180911895
AZ,band,A,provenance,panel_scale,52,-0.024724818581297197,0.8618767840651589
AZ,band,A,terrain,hand,52,-0.036629880457100916,0.7965556437996882
AZ,band,A,terrain,water,52,0.049792949433024834,0.7259250779550546
AZ,band,A,terrain,elev,52,-0.099974387432767,0.4807042860697664
AZ,band,AE,provenance,bfe,52,0.08596273068001321,0.5445542202915559
AZ,band,AE,provenance,panel_scale,52,0.17396052500270623,0.21743298555972135
AZ,band,AE,terrain,hand,52,0.029200819778570673,0.8371853201558529
AZ,band,AE,terrain,elev,52,-0.017160420046102617,0.903892031969551
AZ,shadedX,A,provenance,bfe,20,0.06630390570005701,0.7812175399434613
AZ,shadedX,A,provenance,panel_scale,20,0.45550203334908335,0.043564575567765315
AZ,shadedX,A,terrain,hand,20,-0.14736842105263157,0.5352473458918693
AZ,shadedX,A,terrain,elev,20,-0.11879699248120301,0.6178918280262936
AZ,shadedX,AE,provenance,bfe,20,0.15605675365989027,0.5111723582526434
AZ,shadedX,AE,provenance,panel_scale,20,-0.11556711390179995,0.6275454902404134
AZ,shadedX,AE,terrain,hand,20,0.20609253055801727,0.38334971281174024
AZ,shadedX,AE,terrain,elev,20,0.2421052631578947,0.30375506301143473
CO,band,A,provenance,bfe,39,0.09928076257135875,0.5476238262544919
CO,band,A,provenance,panel_scale,39,0.26545437601493455,0.10241050192518848
CO,band,A,terrain,hand,39,-0.04120684608423624,0.8033067849424551
CO,band,A,terrain,water,39,0.0685527115425673,0.6783826399432732
CO,band,A,terrain,elev,39,0.15870445344129555,0.334546243778682
CO,band,AE,provenance,bfe,39,-0.25800251583397416,0.11278843668006705
CO,band,AE,provenance,panel_scale,39,0.06265736723029798,0.7047347418135947
CO,band,AE,terrain,hand,39,-0.08809235230444845,0.593842375287055
CO,band,AE,terrain,water,39,-0.16010233909781693,0.3302512077036678
CO,band,AE,terrain,elev,39,-0.20121457489878541,0.2193302488016775
CO,shadedX,A,provenance,bfe,22,0.13703339181418184,0.5431177125531383
CO,shadedX,A,provenance,panel_scale,23,0.14029338630787558,0.5231662521688655
CO,shadedX,A,terrain,hand,23,-0.19553544919929047,0.3712497537143955
CO,shadedX,A,terrain,imperv,23,-0.23844272039989856,0.27322775506120667
CO,shadedX,A,terrain,water,23,0.20512970092047567,0.3477595094567599
CO,shadedX,A,terrain,elev,23,0.10375494071146245,0.6375569641629661
CO,shadedX,AE,provenance,bfe,22,0.0,1.0
CO,shadedX,AE,provenance,panel_scale,23,-0.05988815027292362,0.7860526156182881
CO,shadedX,AE,terrain,hand,23,0.43002389014408665,0.04055262854455949
CO,shadedX,AE,terrain,water,23,-0.12049757281793286,0.5839243253550572
CO,shadedX,AE,terrain,elev,23,-0.05138339920948617,0.81588781284032
FL,band,A,provenance,bfe,50,0.0795964985006367,0.5826831885503462
FL,band,A,provenance,panel_scale,51,-0.24621714345649906,0.08156542852509287
FL,band,A,terrain,hand,51,0.1265387421168615,0.37624910901250647
FL,band,A,terrain,water,51,-0.13832038189132906,0.3330545319587083
FL,band,A,terrain,elev,51,0.05791855203619909,0.6864287554430069
FL,band,AE,provenance,bfe,50,-0.2365090502567142,0.09820353583297857
FL,band,AE,provenance,panel_scale,51,0.2068903126385846,0.14520567486434174
FL,band,AE,terrain,hand,51,-0.06282533244331065,0.6614059661015118
FL,band,AE,terrain,water,51,0.15395333106741524,0.2807497924760626
FL,band,AE,terrain,elev,51,-0.0971945701357466,0.4974487239538472
FL,shadedX,A,provenance,bfe,44,0.036308519886971515,0.8149950213409664
FL,shadedX,A,provenance,panel_scale,46,0.06397770308599512,0.6727261763202819
FL,shadedX,A,terrain,hand,46,0.17306804259301728,0.25005910956952815
FL,shadedX,A,terrain,imperv,46,0.17171958906132018,0.2538250851952234
FL,shadedX,A,terrain,water,46,0.00129429309422637,0.9931887539187632
FL,shadedX,A,terrain,elev,46,0.046438482886216464,0.7592555073329783
FL,shadedX,AE,provenance,bfe,44,-0.07585478088432758,0.624569476605284
FL,shadedX,AE,provenance,panel_scale,46,-0.07188920801552724,0.6349487339048149
FL,shadedX,AE,terrain,hand,46,-0.3177611198721103,0.031399775443174745
FL,shadedX,AE,terrain,imperv,46,0.09144507000168742,0.54557066003127
FL,shadedX,AE,terrain,water,46,0.06388135255056303,0.6731914438313467
FL,shadedX,AE,terrain,elev,46,-0.11736046870181929,0.43729940434853815
IA,band,A,provenance,bfe,43,0.09160593751607016,0.5590655633978409
IA,band,A,provenance,panel_scale,43,-0.20149446676001764,0.19508245442668798
IA,band,A,terrain,hand,43,-0.18207907283697045,0.2425691807549341
IA,band,A,terrain,water,43,-0.04659254199057307,0.7667063491588141
IA,band,A,terrain,elev,43,-0.06553911205073995,0.6762731500421614
IA,band,AE,provenance,bfe,43,-0.005362132907056837,0.9727767150475279
IA,band,AE,provenance,panel_scale,43,0.016318213857325372,0.9172809574885289
IA,band,AE,terrain,hand,43,0.03753351273329502,0.8111402624748627
IA,band,AE,terrain,water,43,0.24170643541338072,0.11840001016730965
IA,band,AE,terrain,elev,43,-0.028994261552401087,0.8535708225758365
IA,shadedX,A,provenance,bfe,39,0.306555312274019,0.05767831765070886
IA,shadedX,A,provenance,panel_scale,39,-0.019067004009301593,0.9082789572710488
IA,shadedX,A,terrain,hand,39,-0.015103920146426822,0.9272858602973535
IA,shadedX,A,terrain,water,39,-0.16733328157672084,0.3085837519977205
IA,shadedX,A,terrain,elev,39,-0.029757085020242918,0.8572888157349507
IA,shadedX,AE,provenance,bfe,39,-0.22233472727514197,0.17370232037542996
IA,shadedX,AE,provenance,panel_scale,39,-0.02836798157481456,0.863886905523824
IA,shadedX,AE,terrain,hand,39,-0.10512991592974791,0.5241611606475387
IA,shadedX,AE,terrain,water,39,0.15670332496222217,0.34075452602772144
IA,shadedX,AE,terrain,elev,39,0.06295546558704454,0.7033937467142297
LA,band,A,provenance,bfe,35,-0.05633803937236613,0.7478684926721852
LA,band,A,terrain,hand,35,0.10788847807559553,0.5372998636229671
LA,band,A,terrain,water,35,-0.0753077756360394,0.6672262358755954
LA,band,A,terrain,elev,35,0.16806722689075632,0.3345062930789262
LA,band,AE,provenance,bfe,35,0.007147363203956898,0.9674958614774745
LA,band,AE,terrain,hand,35,-0.15077420716094164,0.3872829934020602
LA,band,AE,terrain,water,35,0.150353564561951,0.38862409989419827
LA,band,AE,terrain,elev,35,-0.18963585434173671,0.27523137224101796
LA,shadedX,A,provenance,bfe,29,-0.13261033943569409,0.4928681430816044
LA,shadedX,A,terrain,hand,29,-0.14980905298175998,0.43795424759510454
LA,shadedX,A,terrain,water,29,0.24783623938706648,0.19488385722634893
LA,shadedX,A,terrain,elev,29,-0.011330049261083741,0.953484128536159
LA,shadedX,AE,provenance,bfe,29,0.10671597835868868,0.5816461201188788
LA,shadedX,AE,terrain,hand,29,0.30634633048464205,0.10603127286029398
LA,shadedX,AE,terrain,water,29,-0.23811745063390946,0.21354277267241398
LA,shadedX,AE,terrain,elev,29,0.03645320197044334,0.8510854765594947
MN,band,A,provenance,bfe,44,-0.12449771658152649,0.4207099948471271
MN,band,A,terrain,hand,44,-0.23540203314877187,0.12399118350832009
MN,band,A,terrain,water,44,0.3172637765018824,0.03586475815155187
MN,band,A,terrain,elev,44,-0.0057787174066243835,0.9703028587368265
MN,band,AE,provenance,bfe,44,0.060841063475985654,0.6948221344411796
MN,band,AE,provenance,panel_scale,44,0.041370585679237765,0.7897498984356458
MN,band,AE,terrain,hand,44,0.06727787286516727,0.6643496243100269
MN,band,AE,terrain,water,44,-0.2683347321698697,0.07821334354804019
MN,band,AE,terrain,elev,44,-0.05144467935165609,0.7401601877088568
MN,shadedX,A,provenance,bfe,27,0.3712977272325732,0.05654262222053907
MN,shadedX,A,terrain,hand,27,0.3124908867665045,0.11252313018282653
MN,shadedX,A,terrain,water,27,0.11320378291067211,0.5739780496605315
MN,shadedX,A,terrain,elev,27,-0.2753357753357753,0.1645205532864855
MN,shadedX,AE,provenance,bfe,27,-0.4180152866623295,0.03002589092929505
MN,shadedX,AE,provenance,panel_scale,27,0.1336355018160475,0.5063554022698072
MN,shadedX,AE,terrain,hand,27,-0.20413228978130885,0.3071043857281828
MN,shadedX,AE,terrain,water,27,0.043912175804875365,0.8278326963464725
MN,shadedX,AE,terrain,elev,27,0.27777777777777773,0.16065751401715694
MO,band,A,provenance,bfe,45,0.015420607952176719,0.919916000657286
MO,band,A,terrain,hand,45,0.15094215442677544,0.3222997541884816
MO,band,A,terrain,water,45,-0.06969025085349638,0.6491849527409911
MO,band,A,terrain,elev,45,0.20447957839262185,0.17785865529679562
MO,band,AE,provenance,bfe,45,-0.11479785919953779,0.4527099705185623
MO,band,AE,terrain,hand,45,-0.2563494428962089,0.0891708629720113
MO,band,AE,terrain,water,45,0.18017836719019092,0.23626107456287015
MO,band,AE,terrain,elev,45,-0.15704874835309615,0.3028787627981314
MO,shadedX,A,provenance,bfe,31,-0.25473983516722765,0.16666910409321536
MO,shadedX,A,terrain,hand,31,-0.16900574654734757,0.3634149360314562
MO,shadedX,A,terrain,water,31,-0.10479132841604677,0.5747803018752118
MO,shadedX,A,terrain,elev,31,0.2806451612903226,0.12619634864235166
MO,shadedX,AE,provenance,bfe,31,0.15429609968561298,0.4072396991549431
MO,shadedX,AE,terrain,hand,31,0.3198790730495522,0.07938843194432604
MO,shadedX,AE,terrain,water,31,-0.3239958191389137,0.07538477903170102
MO,shadedX,AE,terrain,elev,31,-0.10483870967741936,0.5746064280071872
NC,band,A,provenance,bfe,13,-0.5193449429032401,0.06893337063627679
NC,band,A,terrain,hand,14,-0.1760177082722231,0.5472241137825171
NC,band,A,terrain,water,14,-0.548143839251164,0.042416551148339546
NC,band,A,terrain,elev,14,-0.1956043956043956,0.5027500912969567
NC,band,AE,provenance,bfe,13,0.7265304254444263,0.004911341613419703
NC,band,AE,terrain,hand,14,0.38326084161662965,0.176160679373321
NC,band,AE,terrain,water,14,0.4219265078446459,0.1329089201282344
NC,band,AE,terrain,elev,14,0.4681318681318682,0.09137636506833101
NC,shadedX,A,provenance,bfe,8,-0.3132757502627219,0.44990820732344383
NC,shadedX,A,terrain,hand,9,0.7113032974423645,0.031656557033302335
NC,shadedX,A,terrain,elev,9,0.5666666666666667,0.1116329876114912
NC,shadedX,AE,provenance,bfe,8,0.4458154907584889,0.26825005020123815
NC,shadedX,AE,terrain,hand,9,-0.48333333333333334,0.18746985521554216
NC,shadedX,AE,terrain,elev,9,-0.43333333333333335,0.24395243588005172
TX,band,A,provenance,bfe,53,0.03339046389536646,0.8123806741376746
TX,band,A,terrain,hand,53,0.2540924127283957,0.0663618077161431
TX,band,A,terrain,water,53,0.0384735690836476,0.7844579760201397
TX,band,A,terrain,elev,53,0.09127560070956298,0.5156855703540842
TX,band,AE,provenance,bfe,53,0.0064924592593212736,0.963199294805538
TX,band,AE,terrain,hand,53,-0.2411742211925745,0.08191354741760357
TX,band,AE,terrain,water,53,-0.05391163749521242,0.7014210998106775
TX,band,AE,terrain,elev,53,-0.15892597968069663,0.2556839147809342
TX,shadedX,A,provenance,bfe,28,-0.012874954554794607,0.9481546680824491
TX,shadedX,A,terrain,hand,28,-0.13994252218666273,0.4775479921866745
TX,shadedX,A,terrain,water,28,0.1867174706474546,0.34141515320168214
TX,shadedX,A,terrain,elev,28,-0.16584564860426929,0.3989903778112816
TX,shadedX,AE,provenance,bfe,28,0.3624162739573035,0.058052504233807915
TX,shadedX,AE,terrain,hand,28,0.3506226938541463,0.06735473704025773
TX,shadedX,AE,terrain,water,28,-0.3373711960988621,0.07913989452027474
TX,shadedX,AE,terrain,elev,28,0.26874657909140665,0.1667160506186472
VT,band,A,provenance,bfe,13,0.33843481343012616,0.2580224758522302
VT,band,A,provenance,panel_scale,13,-0.033625467268714584,0.9131616525729324
VT,band,A,terrain,hand,13,0.5164835164835164,0.07074904067496378
VT,band,A,terrain,water,13,-0.5154067113882764,0.07144090099461524
VT,band,A,terrain,elev,13,0.2857142857142857,0.34400021825866994
VT,band,AE,provenance,bfe,13,-0.515974387688553,0.07107557455799571
VT,band,AE,provenance,panel_scale,13,-0.06725093453742917,0.8272032362857759
VT,band,AE,terrain,hand,13,-0.41208791208791207,0.16175105277252644
VT,band,AE,terrain,water,13,0.43678534863413265,0.13561079596512784
VT,band,AE,terrain,elev,13,-0.15934065934065936,0.6030877531318972
VT,shadedX,A,provenance,bfe,11,0.12385842357671556,0.7167337279471142
VT,shadedX,A,terrain,hand,11,-0.5727272727272729,0.0655430526010185
VT,shadedX,A,terrain,water,11,0.37905238362839516,0.25028522456989677
VT,shadedX,A,terrain,elev,11,0.5272727272727273,0.09556521835315424
VT,shadedX,AE,provenance,bfe,11,0.09174698042719671,0.7884783134215823
VT,shadedX,AE,terrain,hand,11,0.2004561009344103,0.5545252303435376
VT,shadedX,AE,terrain,water,11,0.11562432251572008,0.7349591760539491
VT,shadedX,AE,terrain,elev,11,-0.4727272727272727,0.14199852020631987
