state,protocol,train,group,variable,n,spearman,p_value
AZ,band,A,provenance,bfe,52,0.17100438358233508,0.2254717197929373
AZ,band,A,terrain,hand,52,0.07513500837193884,0.5965385785928023
AZ,band,A,terrain,water,52,-0.12485212089582676,0.3778345389605304
AZ,band,A,terrain,elev,52,-0.015282165115683428,0.91436964270298
AZ,band,AE,provenance,bfe,52,-0.0715572487821652,0.6141840238521837
AZ,band,AE,provenance,panel_scale,52,-0.12462375906962535,0.3787144200792378
AZ,band,AE,terrain,hand,52,0.025103530923573484,0.8597822313297664
AZ,band,AE,terrain,elev,52,0.13088021856057372,0.3550519358998044
AZ,shadedX,A,provenance,bfe,20,0.01569445876064925,0.9476389108585137
AZ,shadedX,A,terrain,hand,20,-0.15650869742824436,0.5099343608629625
AZ,shadedX,A,terrain,elev,20,-0.38796992481203,0.09097286579754235
AZ,shadedX,AE,provenance,bfe,20,-0.1954226471538371,0.4089806183438013
AZ,shadedX,AE,provenance,panel_scale,20,-0.5107247416583784,0.021384782058349518
AZ,shadedX,AE,terrain,hand,20,0.2706766917293233,0.24839056913669735
AZ,shadedX,AE,terrain,elev,20,0.5428571428571428,0.013387205428015157
CO,band,A,provenance,bfe,39,-0.06666332047667393,0.6867890009743195
CO,band,A,provenance,panel_scale,39,-0.0677457511363624,0.6819683815099192
CO,band,A,terrain,hand,39,-0.04504960610662076,0.7853763202130442
CO,band,A,terrain,elev,39,0.17813765182186236,0.2779298625786442
CO,band,AE,provenance,bfe,39,0.15863052210286752,0.334774356261134
CO,band,AE,provenance,panel_scale,39,-0.029627235715780607,0.8579051879305498
CO,band,AE,terrain,hand,39,0.25946548416015514,0.11069077939347154
CO,band,AE,terrain,water,39,-0.008362090162997134,0.9597056101772222
CO,band,AE,terrain,elev,39,0.25323886639676113,0.11982709668599817
CO,shadedX,A,provenance,bfe,22,0.24009156251740946,0.2818219367310016
CO,shadedX,A,terrain,hand,23,0.15624231738373,0.47651673524689425
CO,shadedX,A,terrain,imperv,23,0.14751117448468298,0.501789563647294
CO,shadedX,A,terrain,water,23,-0.03759742284923005,0.8647621711945832
