state,protocol,fold,train_domain,eval_domain,kind,tile,n_pos,n_neg,auc,ap,bfe,panel_scale,elev,hand,imperv,water
VT,band,0,A,A,ID,35_51,139,42,0.8835217540253512,0.9458490216465252,0.632824558747173,24000.0,29.56999969482422,0.0,0.0,0.7277777777804377
VT,band,0,A,A,ID,36_49,738,660,0.9853781719635378,0.9837599854550119,1.2456999735442347,6000.0,292.9557800292969,8.050003051757812,0.0,0.0
VT,band,0,A,A,ID,36_51,402,643,0.989500398474192,0.9842913004859825,2.7378647473443487,6000.0,289.32427978515625,23.399993896484375,0.0,0.0
VT,band,0,A,A,ID,37_48,570,636,0.9901550259296038,0.9903575519020372,2.0980755805239,12000.0,452.94000244140625,13.699989318847656,0.0,0.0
VT,band,0,A,AE,OOD,35_51,413,71,0.9658970773795315,0.9920227441626945,0.632824558747173,24000.0,29.56999969482422,0.0,0.0,0.8244444444461272
VT,band,0,A,AE,OOD,36_49,367,604,0.9901474276846455,0.974759650343076,1.2456999735442347,12000.0,331.9808044433594,22.29998779296875,0.0,0.0
VT,band,0,A,AE,OOD,36_51,568,846,0.9923833782838877,0.9887356440491616,2.7378647473443487,6000.0,298.05999755859375,21.099998474121094,0.0,0.0
VT,band,0,A,AE,OOD,37_48,264,317,0.9887917025141,0.9874227341583168,2.0980755805239,12000.0,459.6463317871094,12.70001220703125,0.0,0.0
VT,band,0,AE,A,OOD,35_51,139,42,0.8823227132579652,0.9495817235511923,0.632824558747173,24000.0,29.56999969482422,0.0,0.0,0.7277777777804377
VT,band,0,AE,A,OOD,36_49,738,660,0.9848443787468177,0.9813946616273298,1.2456999735442347,6000.0,292.9557800292969,8.050003051757812,0.0,0.0
VT,band,0,AE,A,OOD,36_51,402,643,0.9899762462957375,0.9824869044464072,2.7378647473443487,6000.0,289.32427978515625,23.399993896484375,0.0,0.0
VT,band,0,AE,A,OOD,37_48,570,636,0.9888999227628821,0.9885095117025166,2.0980755805239,12000.0,452.94000244140625,13.699989318847656,0.0,0.0
VT,band,0,AE,AE,ID,35_51,413,71,0.9519830849503803,0.9899105093277353,0.632824558747173,24000.0,29.56999969482422,0.0,0.0,0.8244444444461272
VT,band,0,AE,AE,ID,36_49,367,604,0.9882978147499865,0.9726207338431652,1.2456999735442347,12000.0,331.9808044433594,22.29998779296875,0.0,0.0
VT,band,0,AE,AE,ID,36_51,568,846,0.9941106449572136,0.9914515820323875,2.7378647473443487,6000.0,298.05999755859375,21.099998474121094,0.0,0.0
VT,band,0,AE,AE,ID,37_48,264,317,0.9873339068922665,0.9851671030397825,2.0980755805239,12000.0,459.6463317871094,12.70001220703125,0.0,0.0
VT,band,1,A,A,ID,36_48,211,280,0.9899289099526067,0.9849822145035743,2.966575696441484,6000.0,297.4963684082031,11.0,0.0,0.0
VT,band,1,A,A,ID,36_50,1469,1150,0.9894243348033268,0.9911771681390078,1.2456999735442347,12000.0,203.10137939453125,6.3000030517578125,0.0,0.0
VT,band,1,A,A,ID,37_51,222,250,0.9673873873873874,0.9606437147662609,0.8394054991673486,12000.0,267.01953125,9.900009155273438,0.0,0.0
VT,band,1,A,A,ID,37_52,405,397,0.9500699692135461,0.9423326932348716,2.7378647473443487,12000.0,374.4640350341797,10.149993896484375,0.0,0.0
VT,band,1,A,AE,OOD,36_48,183,399,0.9894682060342113,0.9755826706359811,2.966575696441484,6000.0,328.5121612548828,22.399993896484375,0.0,0.0
VT,band,1,A,AE,OOD,36_50,755,734,0.9882202212317519,0.9892107170483213,1.2456999735442347,12000.0,229.01193237304688,8.5,0.0,0.0
