state,protocol,fold,train_domain,eval_domain,kind,tile,n_pos,n_neg,auc,ap,bfe,panel_scale,elev,hand,imperv,water
VT,band,0,A,A,ID,35_51,139,42,0.9117848578280232,0.9630817535283736,0.632824558747173,12000.0,101.24889373779297,2.1999969482421875,0.0,0.0
VT,band,0,A,A,ID,36_49,738,660,0.9823581341874024,0.9800744494503918,1.2456999735442347,12000.0,317.65570068359375,8.399993896484375,0.0,0.0
VT,band,0,A,A,ID,36_51,402,643,0.9815309146336747,0.9697199972275545,2.7378647473443487,12000.0,311.0415954589844,23.399993896484375,0.0,0.0
VT,band,0,A,A,ID,37_48,570,636,0.9866959064327485,0.9860764193374976,2.0980755805239,12000.0,452.94000244140625,12.900001525878906,0.0,0.0
VT,band,0,A,AE,OOD,35_51,413,71,0.9525287317123078,0.9885549138339462,0.632824558747173,24000.0,28.849000930786133,0.0,0.0,1.0
VT,band,0,A,AE,OOD,36_49,367,604,0.9896421675659094,0.9772156749377399,1.2456999735442347,6000.0,285.68133544921875,21.20000457763672,0.0,0.0
VT,band,0,A,AE,OOD,36_51,568,846,0.9977774448107082,0.996244710776625,2.7378647473443487,6000.0,265.9901580810547,21.400001525878906,0.0,0.0
VT,band,0,A,AE,OOD,37_48,264,317,0.9955429691234108,0.9948251045846069,2.0980755805239,6000.0,350.0117492675781,14.400001525878906,0.0,0.0
VT,band,0,AE,A,OOD,35_51,139,42,0.7944501541623845,0.9238613579095245,0.632824558747173,12000.0,101.24889373779297,2.1999969482421875,0.0,0.0
VT,band,0,AE,A,OOD,36_49,738,660,0.9854644000985464,0.9868120978932554,1.2456999735442347,12000.0,317.65570068359375,8.399993896484375,0.0,0.0
VT,band,0,AE,A,OOD,36_51,402,643,0.9785636359415982,0.9542852013525638,2.7378647473443487,12000.0,311.0415954589844,23.399993896484375,0.0,0.0
VT,band,0,AE,A,OOD,37_48,570,636,0.974704843870683,0.974700949062717,2.0980755805239,12000.0,452.94000244140625,12.900001525878906,0.0,0.0
VT,band,0,AE,AE,ID,35_51,413,71,0.9441394127476725,0.9862538931456792,0.632824558747173,24000.0,28.849000930786133,0.0,0.0,1.0
VT,band,0,AE,AE,ID,36_49,367,604,0.9935398884818738,0.986295027111416,1.2456999735442347,6000.0,285.68133544921875,21.20000457763672,0.0,0.0
VT,band,0,AE,AE,ID,36_51,568,846,0.9991009889121967,0.9986390541845951,2.7378647473443487,6000.0,265.9901580810547,21.400001525878906,0.0,0.0
VT,band,0,AE,AE,ID,37_48,264,317,0.9947065290125227,0.9941890143478375,2.0980755805239,6000.0,350.0117492675781,14.400001525878906,0.0,0.0
VT,band,1,A,A,ID,36_48,211,280,0.9858835477318889,0.9759502702591748,2.966575696441484,12000.0,332.98565673828125,11.800018310546875,0.0,0.0
VT,band,1,A,A,ID,36_50,1469,1150,0.983128422174209,0.9851080536828228,1.2456999735442347,12000.0,202.33094787597656,6.600006103515625,0.0,0.0
VT,band,1,A,A,ID,37_51,222,250,0.9578018018018019,0.9460675024530432,2.7378647473443487,12000.0,311.48765563964844,11.749984741210938,0.0,0.0
VT,band,1,A,A,ID,37_52,405,397,0.9266536057468046,0.9154343117951176,2.7378647473443487,12000.0,381.38963317871094,11.399993896484375,0.0,0.0
VT,band,1,A,AE,OOD,36_48,183,399,0.9931111932837559,0.9804053131790644,2.966575696441484,6000.0,289.1833038330078,21.95000457763672,0.0,0.0
VT,band,1,A,AE,OOD,36_50,755,734,0.9990905317862749,0.9991203750761344,1.2456999735442347,6000.0,227.94459533691406,7.600006103515625,0.0,0.0
VT,band,1,A,AE,OOD,37_51,299,250,0.9027023411371237,0.9071022707983261,0.8394054991673486,12000.0,204.86741638183594,5.9000091552734375,0.0,0.0
VT,band,1,A,AE,OOD,37_52,117,139,0.9566500645637337,0.9209845040498388,3.35983104765846,6000.0,335.4867706298828,8.650009155273438,0.0,0.0
VT,band,1,AE,A,OOD,36_48,211,280,0.9752708192281652,0.9523945059062081,2.966575696441484,12000.0,332.98565673828125,11.800018310546875,0.0,0.0
VT,band,1,AE,A,OOD,36_50,1469,1150,0.9785189569952939,0.9817189870823887,1.2456999735442347,12000.0,202.33094787597656,6.600006103515625,0.0,0.0
VT,band,1,AE,A,OOD,37_51,222,250,0.956900900900901,0.9476485220728541,2.7378647473443487,12000.0,311.48765563964844,11.749984741210938,0.0,0.0
VT,band,1,AE,A,OOD,37_52,405,397,0.9379357527132506,0.9421731726295153,2.7378647473443487,12000.0,381.38963317871094,11.399993896484375,0.0,0.0
VT,band,1,AE,AE,ID,36_48,183,399,0.996151581138639,0.9906487572166747,2.966575696441484,6000.0,289.1833038330078,21.95000457763672,0.0,0.0
VT,band,1,AE,AE,ID,36_50,755,734,0.9987783532129131,0.9988972433890778,1.2456999735442347,6000.0,227.94459533691406,7.600006103515625,0.0,0.0
VT,band,1,AE,AE,ID,37_51,299,250,0.9857391304347826,0.9855244313883351,0.8394054991673486,12000.0,204.86741638183594,5.9000091552734375,0.0,0.0
VT,band,1,AE,AE,ID,37_52,117,139,0.9938510729877637,0.9912416078198124,3.35983104765846,6000.0,335.4867706298828,8.650009155273438,0.0,0.0
VT,band,2,A,A,ID,36_52,402,530,0.9606120341687787,0.9112427626584924,2.5917303848117714,6000.0,297.5619812011719,12.75,0.0,0.0
VT,band,2,A,A,ID,36_53,29,37,0.9664492078285182,0.9460359689118162,8.058741670771274,12000.0,319.2893981933594,12.400001525878906,0.0,0.0
VT,band,2,A,A,ID,37_50,494,705,0.9805323455939358,0.9674707768546897,3.899178062337426,12000.0,342.06329345703125,20.79998779296875,0.0,0.0
VT,band,2,A,AE,OOD,36_52,511,757,0.9839747484017404,0.9588667064053231,0.632824558747173,6000.0,227.0723648071289,12.250003814697266,0.0,0.0
VT,band,2,A,AE,OOD,36_53,43,120,0.9833333333333333,0.9013142988821181,8.058741670771274,6000.0,279.1339416503906,34.09999084472656,0.0,0.0
VT,band,2,A,AE,OOD,37_50,705,866,0.994784859056885,0.992322952135887,3.899178062337426,6000.0,266.8780212402344,11.899993896484375,0.0,0.0
VT,band,2,AE,A,OOD,36_52,402,530,0.9513798929878906,0.9117890491632499,2.5917303848117714,6000.0,297.5619812011719,12.75,0.0,0.0
VT,band,2,AE,A,OOD,36_53,29,37,0.9599254426840633,0.9281391999247554,8.058741670771274,12000.0,319.2893981933594,12.400001525878906,0.0,0.0
VT,band,2,AE,A,OOD,37_50,494,705,0.9789215264019295,0.9645569955120051,3.899178062337426,12000.0,342.06329345703125,20.79998779296875,0.0,0.0
VT,band,2,AE,AE,ID,36_52,511,757,0.9947651017121348,0.9912261106529862,0.632824558747173,6000.0,227.0723648071289,12.250003814697266,0.0,0.0
